TEST SCRIPT REPORT — FRONTEND (POSITIF),,,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,,
Kelas,,:,A,,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,,
Nama Sistem,,:,[Nama Sistem / Aplikasi yang Diuji],,,,,,,,,,
Tipe Pengujian: Frontend,,,,,,,Skenario: Positif,,,,,,
,,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,TSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
1,FR-AUTH-02,FSD-1.2 Registrasi Akun Sebagai Komunitas,,,Register Komunitas,/api/v1/auth/register/komunitas,Data registrasi valid dan lengkap,Sistem menampilkan notifikasi pendaftaran berhasil dan akun menunggu verifikasi superadmin,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
2,"FR-PROF-05, FR-MON-08","FSD-2.5 Lihat Profil Komunitas oleh Publik, FSD-7.8 Halaman Profil Komunitas",,,Lihat Profil Komunitas,/api/v1/komunitas/{id}/profil-publik,id komunitas valid,Sistem menampilkan profil komunitas beserta campaign aktif,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
3,FR-PROF-06,FSD-2.6 Edit Profil Komunitas,,,Edit Profil Komunitas,/api/v1/komunitas/profil/edit,Data profil valid,Sistem menampilkan notifikasi profil berhasil diperbarui,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
4,"FR-PROF-07, FR_VERIF-02","FSD-2.7 Kelola Informasi Rekening, FSD-14.2 Riwayat Perubahan Rekening",,,Kelola Rekening,/api/v1/komunitas/rekening/riwayat,JWT valid,Sistem menampilkan rekening aktif dan riwayat perubahan rekening,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
5,FR-PROF-07,FSD-2.7 Kelola Informasi Rekening,,,Ajukan Perubahan Rekening,/api/v1/komunitas/rekening/ajukan-perubahan,Data rekening baru valid,Sistem menampilkan notifikasi pengajuan perubahan rekening berhasil,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
6,"FR-PROF-08, FR-CAMP-05","FSD-2.8 Lihat Riwayat Campaign, FSD-5.5 Riwayat Campaign Komunitas",,,Lihat Riwayat Campaign,/api/v1/komunitas/campaign/riwayat,JWT valid,Sistem menampilkan daftar riwayat campaign komunitas,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
7,FR-DON-03,FSD-4.3 Tampilan Donatur di Halaman Campaign,,,Tampilkan Donatur,/api/v1/campaign/{id}/donatur,id campaign valid,Sistem menampilkan daftar donatur campaign,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
8,FR-CAMP-01,FSD-5.1 Pengajuan Campaign,,,Penguan Campaign,/api/v1/komunitas/campaign/ajukan,Data campaign valid,Sistem menampilkan notifikasi campaign berhasil diajukan,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
9,FR-CAMP-04,FSD-5.4 Tampilan Campaign ke Publik,,,Tampilan Campaign ke publik,/api/v1/campaign,Data campaign tersedia,Sistem menampilkan daftar campaign publik,"Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
10,FR-MON-01,FSD-7.1 Monitoring Campaign Layer Publik,,,Monitoring Layer Publik,/api/v1/campaign/{id}/detail-publik,id campaign valid,"Sistem menampilkan detail campaign, profil komunitas, timeline dana, dan update campaign","Status 200, token received",01/06/2026,Nama Tester,Lihat lampiran / link,Pass
11,FR-MON-03,FSD-7.3 Post Update Campaign oleh Komunitas,,,Popt Update,/api/v1/komunitas/campaign/{id}/update-post,Data update valid,Sistem menampilkan notifikasi update campaign berhasil dipublikasikan,,,,,
12,FR-DASH-KOM-01,FSD-10.1 Ringkasan Dashboard Komunitas,,,Ringkasan Dashboard Komunitas,/api/v1/komunitas/dashboard,JWT valid,Sistem menampilkan statistik dan ringkasan dashboard komunitas,,,-952,,
