TEST SCRIPT REPORT — BACKEND (NEGATIF),,,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,,
Kelas,,:,A,,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,TSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,Parameter / Value,Ekspektasi,Hasil Aktual,Tgl Test,PIC,Screenshot Hasil,Pass / Failed
1,SRS-DON-01,FSD-DON-01,TSD-DON-01,TS-BE-N001,Buat Donasi — campaign tidak ditemukan,POST /api/donations,"id_campaign:9999, nominal:50000, metode_pembayaran:""qris""","HTTP 404, error_code:""ERR-DON-02""",,,,,
2,SRS-DON-01,FSD-DON-01,TSD-DON-01,TS-BE-N002,Buat Donasi — campaign tidak aktif,POST /api/donations,"id_campaign: id campaign berstatus non-aktif, nominal:50000, metode_pembayaran:""qris""","HTTP 403, error_code:""ERR-DON-02"", message:""Campaign tidak menerima donasi""",,,,,
3,SRS-DON-01,FSD-DON-01,TSD-DON-01,TS-BE-N003,Buat Donasi — nominal di bawah minimum,POST /api/donations,"id_campaign:1, nominal:3000, metode_pembayaran:""qris""","HTTP 400, error_code:""ERR-DON-01""",,,,,
4,SRS-DON-01,FSD-DON-01,TSD-DON-01,TS-BE-N004,Buat Donasi — metode_pembayaran tidak valid,POST /api/donations,"id_campaign:1, nominal:50000, metode_pembayaran:""dana""","HTTP 422, errors berisi metode_pembayaran",,,,,
5,SRS-DON-02,FSD-DON-02,TSD-DON-02,TS-BE-N005,Riwayat Donasi — belum ada donasi,GET /api/donations/history,(user baru tanpa riwayat donasi),"HTTP 404, error_code:""ERR-PROF-DONASI-01"", message:""Belum ada riwayat donasi""",,,,,
6,SRS-DON-03,FSD-DON-03,TSD-DON-03,TS-BE-N006,Detail Transaksi — id milik user lain,GET /api/donations/{id},id: id_donasi milik user lain,"HTTP 403, error_code:""ERR-DON-06"", message:""Akses ditolak""",,,,,
7,SRS-DON-03,FSD-DON-03,TSD-DON-03,TS-BE-N007,Detail Transaksi — id tidak ada,GET /api/donations/{id},id:9999,"HTTP 404, error_code:""ERR-DON-07"", message:""Transaksi tidak ditemukan""",,,,,
8,SRS-DON-04,FSD-DON-04,TSD-DON-04,TS-BE-N008,Bukti Donasi — id tidak ditemukan di view receipt,GET /api/donations/{id}/receipt,id:9999,"HTTP 404, error_code:""ERR-DON-05""",,,,,
9,SRS-DON-04,FSD-DON-04,TSD-DON-04,TS-BE-N009,Bukti Donasi — donasi milik user lain,GET /api/donations/{id}/receipt,id: id_donasi milik user lain,"HTTP 403, error_code:""ERR-DON-04""",,,,,
10,SRS-DON-05,FSD-DON-05,TSD-DON-05,TS-BE-N010,Update Status Pembayaran — id tidak ada,PATCH /api/donations/{id}/payment-status,"id:9999, status_pembayaran:""berhasil""","HTTP 404, error_code:""ERR-DON-03""",,,,,
11,SRS-DON-05,FSD-DON-05,TSD-DON-05,TS-BE-N011,Update Status Pembayaran — nilai enum tidak valid,PATCH /api/donations/{id}/payment-status,"id: id valid, status_pembayaran:""proses""","HTTP 422, errors berisi status_pembayaran",,,,,
12,SRS-CAM-01,FSD-CAM-01,TSD-CAM-01,TS-BE-N012,Daftar Donatur Campaign — campaign tidak ditemukan,GET /api/campaigns/{id}/donors,id:9999,"HTTP 404, error_code:""ERR-CAMPAIGN-02""",,,,,
13,SRS-CAM-01,FSD-CAM-01,TSD-CAM-01,TS-BE-N013,Daftar Donatur Campaign — campaign milik komunitas lain,GET /api/campaigns/{id}/donors,id: campaign milik komunitas lain,"HTTP 403, error_code:""ERR-CAMPAIGN-01""",,,,,
14,SRS-DASH-01,FSD-DASH-01,TSD-DASH-01,TS-BE-N014,Ringkasan Dashboard — user tanpa id_komunitas,GET /api/dashboard/community/summary,(Auth: token user tanpa komunitas terkait),"HTTP 403, error_code:""ERR-KOM-01""",,,,,
15,SRS-DASH-02,FSD-DASH-02,TSD-DASH-02,TS-BE-N015,Grafik Donasi — tanggal_selesai < tanggal_mulai,GET /api/dashboard/community/donation-chart,"tanggal_mulai:2026-05-31, tanggal_selesai:2026-05-01","HTTP 422, errors berisi tanggal_selesai",,,,,
16,SRS-DASH-03,FSD-DASH-03,TSD-DASH-03,TS-BE-N016,Detail Keuangan Campaign — tidak ditemukan,GET /api/dashboard/community/campaign-finance/{id},id:9999,"HTTP 404, error_code:""ERR-CAMPAIGN-02""",,,,,
17,SRS-DASH-03,FSD-DASH-03,TSD-DASH-03,TS-BE-N017,Detail Keuangan Campaign — bukan milik komunitas ini,GET /api/dashboard/community/campaign-finance/{id},id: campaign milik komunitas lain,"HTTP 403, error_code:""ERR-CAMPAIGN-01""",,,,,
18,SRS-RPT-01,FSD-RPT-01,TSD-RPT-01,TS-BE-N018,Export Laporan — tanggal_mulai tidak diisi,GET /api/reports/platform-financial/export,"tanggal_selesai:2026-05-31, format_export:""excel""","HTTP 422, errors berisi tanggal_mulai",,,,,
19,SRS-RPT-01,FSD-RPT-01,TSD-RPT-01,TS-BE-N019,Export Laporan — format_export tidak valid,GET /api/reports/platform-financial/export,"tanggal_mulai:2026-01-01, tanggal_selesai:2026-05-31, format_export:""word""","HTTP 422, errors berisi format_export",,,,,
20,SRS-DON-01,FSD-DON-01,TSD-DON-01,TS-BE-N020,Buat Donasi — tanpa token (unauthenticated),POST /api/donations,(tanpa header Authorization),"HTTP 401, Unauthenticated",,,,,
21,FR-AUTH-02,FSD-1.2 Registrasi Akun Sebagai Komunitas,TSD-1.2,TS-BE-N021,Register Komunitas,/api/v1/auth/register/komunitas,"email, password, passwork_confirm, username nama_pj, nama_lembaga, id_jenis_lembaga, deskripsi, kode wilayah, rt, rw, kode_pos, alamt detail, nomor-kontak, link_medsos, foto lembaga _url, nama_bank, nomor_rekening, foto_buku)rekekning_url, berkas_legalitas_url, identitias_pj_Url, surat_pernyataan__url, dokumentasi kegiatan_url","Response 400, Email sudah digunakan",,,,,
22,FR-AUTH-02,FSD-1.2 Registrasi Akun Sebagai Komunitas,TSD-1.2,TS-BE-N022,Register Komunitas,/api/v1/auth/register/komunitas,"email, password, passwork_confirm, username nama_pj, nama_lembaga, id_jenis_lembaga, deskripsi, kode wilayah, rt, rw, kode_pos, alamt detail, nomor-kontak, link_medsos, foto lembaga _url, nama_bank, nomor_rekening, foto_buku)rekekning_url, berkas_legalitas_url, identitias_pj_Url, surat_pernyataan__url, dokumentasi kegiatan_url","Response 400, Email sudah digunakan",,,,,
