TEST SCRIPT REPORT — BACKEND (NEGATIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,HTTP Method,Role / Auth,Parameter / Body,Ekspektasi Status,Ekspektasi Response,Kategori
1,FR-AUTH-01,FSD-1.1,TS-BE-N001,Register User — Email sudah digunakan,PATCH /api/v1/auth/register-user,POST,Tanpa Auth,"username:""existing"", email:""registered@mail.com"", password:""Password123""",409,"status:""error"", message: email sudah digunakan",Auth
2,FR-AUTH-01,FSD-1.1,TS-BE-N002,Register User — Format email tidak valid,PATCH /api/v1/auth/register-user,POST,Tanpa Auth,"username:""test"", email:""bukanemail"", password:""Password123""",422,"status:""error"", errors berisi email tidak valid",Auth
3,FR-AUTH-01,FSD-1.1,TS-BE-N003,Register User — Password terlalu pendek,PATCH /api/v1/auth/register-user,POST,Tanpa Auth,"username:""test"", email:""test@mail.com"", password:""123""",422,"status:""error"", errors berisi password minimal 8 karakter",Auth
4,FR-AUTH-01,FSD-1.1,TS-BE-N004,Register User — Field wajib kosong,PATCH /api/v1/auth/register-user,POST,Tanpa Auth,"username:"""", email:"""", password:""""",422,"status:""error"", errors berisi field wajib",Auth
5,FR-AUTH-03,FSD-1.3,TS-BE-N005,Login — Email tidak terdaftar,PATCH /api/v1/auth/login,POST,Tanpa Auth,"email:""unknown@mail.com"", password:""Password123""",401,"status:""error"", message: Email atau password salah",Auth
6,FR-AUTH-03,FSD-1.3,TS-BE-N006,Login — Password salah,PATCH /api/v1/auth/login,POST,Tanpa Auth,"email:""test@mail.com"", password:""WrongPass""",401,"status:""error"", message: Email atau password salah",Auth
7,FR-AUTH-03,FSD-1.3,TS-BE-N007,Login — Field kosong,PATCH /api/v1/auth/login,POST,Tanpa Auth,"email:"""", password:""""",422,"status:""error"", errors berisi field wajib",Auth
8,FR-AUTH-04,FSD-1.4,TS-BE-N008,Logout — Tanpa token,PATCH /api/v1/auth/logout,POST,Tanpa Auth,Tidak ada Authorization header,401,message: Unauthenticated,Auth
9,FR-AUTH-04,FSD-1.4,TS-BE-N009,Logout — Token expired,PATCH /api/v1/auth/logout,POST,DONATUR,Token kadaluarsa,401,message: Unauthenticated,Auth
10,FR-AUTH-05,FSD-1.5,TS-BE-N010,Lupa Password — Email tidak terdaftar,PATCH /api/v1/auth/forgot-password,POST,Tanpa Auth,"email:""unknown@mail.com""",200,"status:""success"", message tetap sukses (tidak bocorkan info email)",Auth
11,FR-AUTH-05,FSD-1.5,TS-BE-N011,Reset Password — Token tidak valid,PATCH /api/v1/auth/reset-password,POST,Tanpa Auth,"token:invalid_token, password:""NewPass123"", password_confirmation:""NewPass123""",400,"status:""error"", message: token tidak valid atau kedaluwarsa",Auth
12,FR-AUTH-05,FSD-1.5,TS-BE-N012,Reset Password — Konfirmasi tidak cocok,PATCH /api/v1/auth/reset-password,POST,Tanpa Auth,"token:valid, password:""NewPass123"", password_confirmation:""Different456""",422,"status:""error"", errors berisi password_confirmation tidak cocok",Auth
13,FR-AUTH-06,FSD-1.6,TS-BE-N013,Resend Verifikasi — Akun sudah terverifikasi,PATCH /api/v1/auth/resend-verification,POST,Tanpa Auth,"email:""verified@mail.com""",400,"status:""error"", message: akun sudah terverifikasi",Auth
