TEST SCRIPT REPORT — FRONTEND (NEGATIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Frontend,,,,,,,Skenario: Negatif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,Halaman / Route,Aksi User,Input / Kondisi,Ekspektasi Status,Ekspektasi Elemen / Pesan,Kategori
1,FR-AUTH-01,FSD-1.1,TS-FE-N001,Register User — Submit form kosong,/register,Klik Register tanpa isi form,Semua field kosong,Tetap di halaman /register,Error validasi muncul di bawah tiap field: email wajib diisi, password wajib diisi, username wajib diisi. Toast/alert error ditampilkan.,Auth
2,FR-AUTH-01,FSD-1.1,TS-FE-N002,Register User — Email sudah digunakan,/register,Submit form dengan email terdaftar,"email: existing user",Tetap di halaman /register,Notifikasi error: Email sudah digunakan.,Auth
3,FR-AUTH-01,FSD-1.1,TS-FE-N003,Register User — Password terlalu pendek,/register,Submit form dengan password 3 karakter,"password:""123""",Tetap di halaman /register,Error validasi: password minimal 8 karakter.,Auth
4,FR-AUTH-03,FSD-1.3,TS-FE-N004,Login User — Email salah,/login,Login dengan email tidak terdaftar,"email:""unknown@mail.com""",Tetap di halaman /login,Notifikasi error: Email atau password salah.,Auth
5,FR-AUTH-03,FSD-1.3,TS-FE-N005,Login User — Password salah,/login,Login dengan password salah,"email: terdaftar, password: salah",Tetap di halaman /login,Notifikasi error: Email atau password salah.,Auth
6,FR-AUTH-03,FSD-1.3,TS-FE-N006,Login User — Form kosong,/login,Klik Login tanpa isi form,Semua field kosong,Tetap di halaman /login,Error validasi: email wajib diisi, password wajib diisi.,Auth
7,FR-AUTH-02,FSD-1.2,TS-FE-N007,Register Komunitas — Akses tanpa login,/register-komunitas,Buka /register-komunitas tanpa login,Tanpa login,Redirect ke /login,Diarahkan ke halaman login. Notifikasi: Silakan login terlebih dahulu.,Auth
8,FR-AUTH-05,FSD-1.5,TS-FE-N008,Lupa Password — Email tidak terdaftar,/forgot-password,Submit form dengan email tidak terdaftar,"email:""unknown@mail.com""",Tampil notifikasi,Notifikasi: Link reset password telah dikirim (jika email terdaftar). Tidak bocorkan info email.,Auth
9,FR-AUTH-05,FSD-1.5,TS-FE-N009,Reset Password — Token invalid,/reset-password?token=invalid,Buka halaman dengan token tidak valid,Tanpa login,Tampil error,Halaman menampilkan error: Link reset password tidak valid atau sudah kedaluwarsa. Tombol kembali ke lupa password.,Auth
10,FR-CAMP-04,FSD-5.4,TS-FE-N010,Campaign Detail — Campaign tidak ditemukan,/campaigns/99999,Buka halaman campaign dengan ID tidak ada,Tanpa login,Tampil error page,Icon error, pesan: Campaign tidak tersedia. Tombol kembali ke daftar campaign.,Kampanye
