TEST SCRIPT REPORT — BACKEND (POSITIF),,,,,,,,,,,,
Nama Kelompok,,:,Kelompok 3,,,,,,,,,
Kelas,,:,A,,,,,,,,,
Angkatan,,:,2024,,,,,,,,,
Nama Sistem,,:,BERBAGIVE,,,,,,,,,
Tipe Pengujian: Backend,,,,,,,Skenario: Positif,,,,,,
,,,,,,,,,,,,
No.,SRS Ref.,FSD Ref.,No. Test Script,Nama Fungsional,URL / Endpoint,HTTP Method,Role / Auth,Parameter / Body,Ekspektasi Status,Ekspektasi Response,Kategori
1,FR-AUTH-01,FSD-1.1,TS-BE-P001,Register User,PATCH /api/v1/auth/register-user,POST,Tanpa Auth,"username:""testuser"", email:""test@mail.com"", password:""Password123""",201,"status:""success"", data berisi id_user dan role:""DONATUR""",Auth
2,FR-AUTH-03,FSD-1.3,TS-BE-P002,Login User,PATCH /api/v1/auth/login,POST,Tanpa Auth,"email:""test@mail.com"", password:""Password123""",200,"status:""success"", data berisi token dan user (id_user, username, email, role)",Auth
3,FR-AUTH-04,FSD-1.4,TS-BE-P003,Logout User,PATCH /api/v1/auth/logout,POST,DONATUR,Token valid,200,"status:""success"", message berisi logout berhasil",Auth
4,FR-AUTH-05,FSD-1.5,TS-BE-P004,Lupa Password,PATCH /api/v1/auth/forgot-password,POST,Tanpa Auth,"email:""test@mail.com""",200,"status:""success"", message berisi link dikirim",Auth
5,FR-AUTH-05,FSD-1.5,TS-BE-P005,Reset Password,PATCH /api/v1/auth/reset-password,POST,Tanpa Auth,"token:valid, password:""NewPass123"", password_confirmation:""NewPass123""",200,"status:""success"", message berisi password berhasil diperbarui",Auth
6,FR-AUTH-06,FSD-1.6,TS-BE-P006,Kirim Ulang Verifikasi,PATCH /api/v1/auth/resend-verification,POST,Tanpa Auth,"email:""test@mail.com""",200,"status:""success"", message berisi email verifikasi dikirim",Auth
7,FR-AUTH-02,FSD-1.2,TS-BE-P007,Register Komunitas,PATCH /api/v1/users/me/register-komunitas,POST,DONATUR,"username:""komunitastest"", email:""komunitas@mail.com"", password:""Password123"", password_confirmation:""Password123"", nama_pj:""Budi"", nama_lembaga:""Yayasan Peduli"", id_jenis_lembaga:1, deskripsi:""Test deskripsi""",201,"status:""success"", data berisi id_user dan status menunggu verifikasi",Auth
8,FR-PROF-01,FSD-2.1,TS-BE-P008,Lihat Profil Sendiri,PATCH /api/v1/users/me,GET,DONATUR,Token valid,200,"status:""success"", data berisi id_user, username, email, nama_lengkap, role",User Profile
9,FR-PROF-02,FSD-2.2,TS-BE-P009,Edit Profil Sendiri,PATCH /api/v1/users/me,PATCH,DONATUR,"nama_lengkap:""Fatih Updated"", nomor_telepon:""08123456789"", jenis_kelamin:""L"", tanggal_lahir:""2000-01-01"", kode_wilayah:""3276040001""",200,"status:""success"", data berisi field yang diperbarui",User Profile
10,FR-PROF-03,FSD-2.3,TS-BE-P010,Ganti Password,PATCH /api/v1/users/me/password,PATCH,DONATUR,"password_lama:""Password123"", password_baru:""NewPass456"", password_baru_confirmation:""NewPass456""",200,"status:""success"", message berisi password berhasil diperbarui",User Profile
11,FR-PROF-04,FSD-2.4,TS-BE-P011,Lihat Riwayat Donasi,PATCH /api/v1/users/me/donations,GET,DONATUR,"page:1, per_page:15",200,"status:""success"", data array donasi + pagination",User Profile
12,FR-PROF-04,FSD-2.4,TS-BE-P012,Lihat Following List,PATCH /api/v1/users/me/following,GET,DONATUR,Token valid,200,"status:""success"", data array komunitas yang diikuti + count",User Profile
13,FR-PROF-05,FSD-2.5,TS-BE-P013,Lihat Profil Publik Komunitas,PATCH /api/v1/communities/{id}/profile,GET,Tanpa Auth,id: id_komunitas valid,200,"status:""success"", data berisi nama_lembaga, deskripsi, foto, jumlah_followers, jumlah_campaign",Komunitas
14,FR-PROF-06,FSD-2.6,TS-BE-P014,Edit Profil Komunitas,PATCH /api/v1/communities/profile,PATCH,KOMUNITAS,"deskripsi:""Updated"", nomor_kontak:""081111111"", link_medsos:""https://ig.com/test"", foto_lembaga_url:""https://storage/photo.jpg"", alamat_detail:""Jl. Baru No.5"", rt:""001"", rw:""002"", kode_pos:""40123""",200,"status:""success"", data berisi field yang diperbarui",Komunitas
15,FR-PROF-07,FSD-2.7,TS-BE-P015,Riwayat Perubahan Rekening,PATCH /api/v1/communities/bank-account/history,GET,KOMUNITAS,"page:1, per_page:15",200,"status:""success"", data array riwayat perubahan rekening + pagination",Komunitas
16,FR-PROF-07,FSD-2.7,TS-BE-P016,Ajukan Perubahan Rekening,PATCH /api/v1/communities/bank-account/change,POST,KOMUNITAS,"nama_bank_baru:""BCA"", nomor_rekening_baru:""1234567890"", foto_buku_rekening_url:""https://storage/bukurek.jpg"", alasan_perubahan:""Pindah bank""",200,"status:""success"", data berisi status menunggu verifikasi",Komunitas
17,FR-PROF-08,FSD-2.8,TS-BE-P017,Riwayat Campaign Komunitas,PATCH /api/v1/communities/campaigns,GET,KOMUNITAS,"page:1, per_page:15",200,"status:""success"", data array campaign + pagination",Komunitas
18,FR-CAMP-01,FSD-5.1,TS-BE-P018,Ajukan Campaign,PATCH /api/v1/communities/campaigns,POST,KOMUNITAS,"judul:""Bantu Pendidikan"", id_kategori:1, deskripsi:""Membantu anak sekolah"", target_dana:10000000, tanggal_mulai:""2026-07-01"", tanggal_selesai:""2026-12-31"", foto_campaign_url:""https://storage/camp.jpg"", kode_wilayah:""3276040001"", target_audiens:""Anak SD"", tipe_distribusi:""individual"", url_rab:""https://storage/rab.pdf""",201,"status:""success"", data berisi id_campaign dan status menunggu_review",Kampanye
